X1PAREDU X1SES
1.296834694 1.5644
-0.160555586 -0.3699
2.025529834 1.2741
0.568139554 0.5498
0.568139554 0.1495
-0.160555586 1.0639
-0.889250727 -0.43
2.025529834 1.5144
-0.889250727 -0.3103
-0.160555586 0.0451
1.296834694 1.2058
2.025529834 2.4996
2.025529834 2.5668
-0.889250727 -0.8837
0.568139554 0.9973
-0.160555586 0.0686
2.025529834 1.3989
-0.160555586 -0.2746
-0.889250727 0.4235
1.296834694 1.4372
1.296834694 0.1402
2.025529834 1.1142
0.568139554 0.0887
-1.617945867 -0.8297
1.296834694 1.5809
-0.889250727 -0.6008
-0.889250727 -8
-0.160555586 0.1493
-0.160555586 0.5238
0.568139554 1.0472
0.568139554 0.6753
-0.889250727 -0.7046
2.025529834 1.3291
-0.160555586 -0.2739
1.296834694 0.3972
-0.889250727 -1.1012
0.568139554 0.9842
-0.889250727 -0.2606
1.296834694 1.4132
-0.889250727 -0.7901
0.568139554 0.5511
-1.617945867 -0.0058
-0.889250727 -0.7022
-0.889250727 -0.1112
-0.889250727 -0.5381
-0.889250727 -0.3694
-1.617945867 -1.7526
2.025529834 1.6587
2.025529834 2.0218
-0.889250727 -0.0998
-0.889250727 -0.2813
0.568139554 -0.231
-0.889250727 -0.5803
2.025529834 2.1586
-0.889250727 0.0865
0.568139554 0.2028
-0.160555586 0.0884
-0.160555586 -0.9782
1.296834694 0.984
0.568139554 -0.0322
-1.617945867 -0.7627
0.568139554 -0.1513
2.025529834 1.7567
1.296834694 0.122
-0.889250727 -0.3442
0.568139554 0.9349
1.296834694 1.4352
-0.160555586 -0.1266
1.296834694 0.9312
-1.617945867 -8
1.296834694 1.0498
-0.889250727 -0.4907
1.296834694 1.2984
-0.889250727 -0.4024
0.568139554 0.0876
-0.889250727 -0.6659
1.296834694 1.4591
-0.889250727 -0.8455
-1.617945867 -0.8049
-0.889250727 -0.0649
-0.889250727 -0.4728
0.568139554 0.2802
-0.889250727 0.215
-0.889250727 -1.0862
-0.889250727 -0.7924
-0.889250727 -0.7549
-0.889250727 -8
1.296834694 0.3709
-0.889250727 -0.4293
0.568139554 0.2533
-0.160555586 0.2807
-0.889250727 -0.7751
1.296834694 0.5592
0.568139554 0.3202
-0.889250727 -1.1259
-0.889250727 0.2157
